"handle","followers","following","retweet"
"jenn_christison",105,270,false
"fullaffectfit",20,58,false
"bridges_finance",106,361,false
"vanessacvenus",21324,23314,false
"TheBookTweeters",237916,186397,false
"igneousidol",14582,16040,false
"KenLloy85997776",303,321,false
"Sallam94654598",179,614,false
"anthonywendel",1371,1383,false
"GingerMEdwin",298,2116,false
"Irishmn60",8062,8112,false
"MichelleUBC",825,3941,false
"MyDrummer",692,929,false
"grajhans",1890,1464,false
"TheBookTweeters",237916,186397,false
"annaeverette16",1482,1229,false
"beautyforyoutoo",259,278,false
"redhatchristy",16238,17251,false
"mjc5577",1570,2705,false
"bobaloo24u",3753,4356,false
"carly_jane718",190,297,false
"AnitaWade104",7684,8184,false
"jclark5788",4824,5204,false
"journaled_life",599,2675,false"handle","followers","following","retweet"
"american2084",37083,33624,false
"LateBloomer111",10438,10562,false
"chopin_slut",1971,1541,false
"stefherder",1105,4761,false
"IAmYunusAli",56,97,false
"Inspiralized",8138,1574,false
"doryowen",1417,995,false
"LizSaldanaNYC",1495,1110,false
"OneToWorldInc",1202,1290,false
"ariadne_syd",5212,2728,false
"imtipsco",236,121,false
"EcoKink",18,114,false
"susanreid2",474,1467,false
"LizSaldanaNYC",1495,1110,false
"mv_goncalves",747,747,false
"KaraDiDomizio",15159,16191,false
"iamsam44",383,311,false
"AJLovesUSA",9255,6818,false
"josemaruizm",751,1211,false
"PatiKRoll11",10977,10307,false
"PunjabiRooh",4560,88,false
"1reddragon696",10107,10130,false
"TheBookTweeters",237916,186397,false
"TheBookTweeters",237916,186397,false
"RichardJFrith",148,337,false
"Roula0426",6778,1926,false
"FugaciousOne",908,356,false
"silver_fox9",38447,26916,false
"therookiecritic",1025,766,false
"Abiodunolaode",7,35,false
"PandaGetsHangry",2492,2295,false
"Leesas_Classics",143,682,false
"turkeybags",231,458,false
"JeffersonianAll",1436,3049,false
"jakeallen317",23,208,false
"InspireNCelebr8",18970,228,false
"courtsjacksonxo",544,478,false
"EvaBarria13",128,246,false
"josufang",1839,243,false
"StephanieCW",208,584,false
"CasMudde",31255,1232,false
"HabsRock3176",260,140,false
"mojojonco",14,324,false
"JesuXPIPassio",578,762,false
"emily_esy1990",28,40,false
"TraceyW_RMEBRAT",2058,4988,false
"LighterSidePub",317,940,false
"dvharsh_",43,271,false
"TheBookTweeters",237916,186397,false
"weaveinfluence",26769,22616,false
"FoxKidsNation",2005,5004,false
"LizSaldanaNYC",1495,1110,false
"Elantara",1456,1463,false
"aero_kleen",268,576,false
"RoknRob121",3591,1580,false
"EcoWatch",200003,26275,false
"st_helenas_uni",249,397,false
"dangergirl63",11,107,false
"Ladeegem01",4039,4952,false
"alliesgrammy2",3952,4485,false
"pianoaddictblog",2706,984,false
"dixon_dog",161,368,false
"GLINTERMANS",1511,2614,false
"MeeraSiva_TD",88,109,false
"XRDevonNW",1507,372,false
"towjoe",1677,2368,false
"hwlyom",87,171,false
"riotousmuse",413,1775,false
"Laurettamylove",10815,5855,false
"xrsandiego",428,1370,false
"DaniielleAshley",3892,4996,false
"lob_lily",936,0,false
"WeAreAllVIPs",736,2884,false
"luxyar1ana",108,334,false
"WordSrgnz",573,520,false
"TheBookTweeters",237916,186397,false
"BillyDees",7439,5865,false
"CFarleymusic",8257,3458,false
"ckosullivan",480,1513,false
"rjrwired",60,59,false
"MaryLSchmidt",15635,11166,false
"EmilyM_M_Martin",185,561,false
"trumper0319",2694,3836,false
"brokenwing2005",6833,6248,false
"SupermanDuffy",409,1096,false
"MainChannel_",10990,10130,false
"zakfan22",1053,1349,false
"Joaco53656508",16,105,false
"kliocity",748,267,false
"cellogirl1974",19,239,false
"Spirit_Dental",687,2151,false
"lando140",13,95,false"handle","followers","following","retweet"
"volunteerairdri",1362,799,false
"TheBookTweeters",237916,186397,false
"deaksey",133,460,false
"michele_cantos",480,662,false
